,Circuito,Mesa,Sección
959,0987,00087,121 - Veinticinco de Mayo
960,0993,00034,122 - Vicente López
961,0995,09001,122 - Vicente López
962,0995,09003,122 - Vicente López
963,0995,09009,122 - Vicente López
964,0997,00250,122 - Vicente López
965,1000,00426,122 - Vicente López
966,1000,00493,122 - Vicente López
967,1000,00494,122 - Vicente López
968,1001,00651,122 - Vicente López
969,1001,00654,122 - Vicente López
970,1001,09028,122 - Vicente López
971,1007,00012,124 - Villarino
972,1014,00082,125 - Zárate
973,0744,00006,126 - Tres Lomas
974,0304,00027,128 - Presidente Perón
975,0304,00028,128 - Presidente Perón
976,0304,00029,128 - Presidente Perón
977,0304A,00084,128 - Presidente Perón
978,0304A,00085,128 - Presidente Perón
979,0304A,09002,128 - Presidente Perón
980,0304A,09007,128 - Presidente Perón
981,0304B,00149,128 - Presidente Perón
982,0304B,00157,128 - Presidente Perón
983,0304B,00160,128 - Presidente Perón
984,0398,00007,129 - J. C. Paz
985,0398,00095,129 - J. C. Paz
986,0398,00096,129 - J. C. Paz
987,0398,00097,129 - J. C. Paz
988,0398,00098,129 - J. C. Paz
989,0398,00099,129 - J. C. Paz
990,0398,00100,129 - J. C. Paz
991,0398,00101,129 - J. C. Paz
992,0398,00130,129 - J. C. Paz
993,0398,00199,129 - J. C. Paz
994,0398A,00367,129 - J. C. Paz
995,0398A,00369,129 - J. C. Paz
996,0398B,00505,129 - J. C. Paz
997,0398B,00511,129 - J. C. Paz
998,0398B,00520,129 - J. C. Paz
999,0399,00016,130 - Malvinas Argentinas
1000,0399,00017,130 - Malvinas Argentinas
1001,0399,00018,130 - Malvinas Argentinas
1002,0399,00031,130 - Malvinas Argentinas
1003,0399,00032,130 - Malvinas Argentinas
1004,0399,00033,130 - Malvinas Argentinas
1005,0399,00034,130 - Malvinas Argentinas
1006,0399,00044,130 - Malvinas Argentinas
1007,0399,00045,130 - Malvinas Argentinas
1008,0399,00063,130 - Malvinas Argentinas
1009,0399,00065,130 - Malvinas Argentinas
1010,0399,00074,130 - Malvinas Argentinas
1011,0399,00096,130 - Malvinas Argentinas
1012,0399A,00223,130 - Malvinas Argentinas
1013,0399A,00229,130 - Malvinas Argentinas
1014,0399A,00230,130 - Malvinas Argentinas
1015,0399A,00231,130 - Malvinas Argentinas
1016,0399A,00232,130 - Malvinas Argentinas
1017,0399A,00233,130 - Malvinas Argentinas
1018,0399A,00234,130 - Malvinas Argentinas
1019,0399A,00235,130 - Malvinas Argentinas
1020,0399A,00236,130 - Malvinas Argentinas
1021,0399A,00237,130 - Malvinas Argentinas
1022,0399A,00238,130 - Malvinas Argentinas
1023,0399A,00239,130 - Malvinas Argentinas
1024,0399A,00240,130 - Malvinas Argentinas
1025,0399A,00247,130 - Malvinas Argentinas
1026,0399A,00250,130 - Malvinas Argentinas
1027,0399A,00253,130 - Malvinas Argentinas
1028,0399A,00257,130 - Malvinas Argentinas
1029,0399A,00264,130 - Malvinas Argentinas
1030,0399A,00265,130 - Malvinas Argentinas
1031,0399A,00267,130 - Malvinas Argentinas
1032,0399A,00275,130 - Malvinas Argentinas
1033,0399A,09011,130 - Malvinas Argentinas
1034,0399D,00412,130 - Malvinas Argentinas
1035,0399D,00425,130 - Malvinas Argentinas
1036,0399D,00448,130 - Malvinas Argentinas
1037,0399F,00528,130 - Malvinas Argentinas
1038,0399F,00533,130 - Malvinas Argentinas
1039,0399F,00555,130 - Malvinas Argentinas
1040,0399F,00585,130 - Malvinas Argentinas
1041,0399F,00597,130 - Malvinas Argentinas
1042,0399F,00611,130 - Malvinas Argentinas
1043,0399F,00649,130 - Malvinas Argentinas
1044,0399G,00724,130 - Malvinas Argentinas
1045,0399G,00725,130 - Malvinas Argentinas
1046,0399G,00726,130 - Malvinas Argentinas
1047,0399G,00727,130 - Malvinas Argentinas
1048,0399G,00728,130 - Malvinas Argentinas
1049,0399G,00729,130 - Malvinas Argentinas
1050,0399G,00730,130 - Malvinas Argentinas
1051,0290,00135,132 - Ezeiza
1052,0290,00136,132 - Ezeiza
1053,0290,00138,132 - Ezeiza
1054,0290,00141,132 - Ezeiza
1055,0290,00144,132 - Ezeiza
1056,0290,00145,132 - Ezeiza
1057,0290,00188,132 - Ezeiza
1058,0290A,00243,132 - Ezeiza
1059,0290A,00289,132 - Ezeiza
1060,0290A,00290,132 - Ezeiza
1061,0290A,00291,132 - Ezeiza
1062,0290A,00292,132 - Ezeiza
1063,0666,00030,133 - Ituzaingo
1064,0666A,00220,133 - Ituzaingo
1065,0667,00305,133 - Ituzaingo
1066,0668A,00172,134 - Hurlingham
1067,0668A,00181,134 - Hurlingham
1068,0668A,00188,134 - Hurlingham
1069,0668B,00277,134 - Hurlingham
1070,0668B,00295,134 - Hurlingham
1071,0668B,00317,134 - Hurlingham
1072,0668B,00349,134 - Hurlingham
1073,0668B,00351,134 - Hurlingham
1074,0668B,00356,134 - Hurlingham
1075,0668B,00365,134 - Hurlingham
